"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANKRD36B",96.5803049702827,-1.13596627102778,0.324264525533078,-3.50320858922293,0.000459689334714455,0.0406035224432175
"SMIM10L2B",24.5727442106988,1.050612008773,0.303097569821909,3.46625018930475,0.000527771923021954,0.0430005633461408
"SIGLEC15",140.704042563662,1.69389133351462,0.472565779115926,3.58445619292099,0.000337781250179359,0.0358443576409843
"SERPINA1",23403.2503855851,-1.99997498591404,0.476044189040511,-4.20123810343128,2.65459216692577e-05,0.00802055527768101
"ZNF615",443.671089727112,-1.26449222856428,0.347228294237634,-3.64167393484037,0.000270871019159109,0.031851503517769
"ZNF334",71.9258318311937,2.19239249192336,0.557298144351603,3.93396696928559,8.3555270704451e-05,0.0156694944733158
"CARD11",652.787616995308,1.71105756743829,0.394651195666363,4.33561987453046,1.45349936565049e-05,0.00509990729038076
"C2CD4A",1104.22448489374,-1.22905921961635,0.340002945879035,-3.61484873738011,0.000300523034533422,0.034210829309992
"ARC",61.1032409074248,2.35938784707163,0.507623528894892,4.64790876066771,3.35317161028136e-06,0.00190484970333581
"SNORA73B",329.414091881585,-4.22944029722041,0.6357706617346,-6.6524622034006,2.88229854083023e-11,2.09005074857403e-07
"C6orf15",44.3064710111831,2.32751153894182,0.627445213438563,3.70950560955984,0.000207664356559951,0.0268685968327923
"MIR1915HG",26.6975696106378,1.36193454478681,0.297400510947274,4.5794626930828,4.66171925545527e-06,0.00247344001666278
"KRT6A",168.639827588229,2.51395632703331,0.636723330850134,3.94827110179354,7.87176322852221e-05,0.0151541891392276
"SNORD17",74.827685143871,-1.83157944354532,0.472104884419322,-3.87960282554186,0.000104627165232603,0.0177497052847673
"MLLT11",77.5259903216456,1.40390010044692,0.282684806834487,4.96630900035924,6.82391957806612e-07,0.000511957690593938
"RPL3P6",11.3082281162481,-1.66021158874491,0.42499365715843,-3.90643850980113,9.36664649033271e-05,0.0167018055533359
